Num,States,2019_Cases,2019_Deaths,2020_Cases,2020_Deaths,2021_Cases,2021_Deaths,2022_Cases,2022_Deaths
1,Andhra Pradesh,5286,0,925,0,4760,0,6391,0
2,Arunachal Pradesh,123,0,1,0,7,0,114,0
3,Assam,196,0,33,0,103,0,1826,2
4,Bihar,6712,0,493,2,633,2,13972,32
5,Chattisgarh,722,0,57,0,1086,0,2679,10
6,Goa,992,0,376,0,649,0,443,1
7,Gujarat,18219,17,1564,2,10983,14,6682,7
8,Haryana,1207,0,1377,0,11835,13,8996,18
9,Himachal Pradesh,344,2,21,0,349,0,3326,1
10,J & K,439,0,53,0,1709,4,8269,18
11,Jharkhand,825,0,79,0,220,1,290,0
12,Karnataka,16986,13,3823,0,7393,7,9889,9
13,Kerala,4652,16,4399,5,3251,27,4432,29
14,Lakshadweep,0,0,0,0,1,0,67,0
15,Madhya Pradesh,4189,2,806,0,15592,11,3318,2
16,Meghalaya,82,0,4,0,129,0,26,0
17,Maharashtra,14907,29,3356,10,12720,42,8578,27
18,Manipur,359,0,37,0,203,0,503,4
19,Mizoram,42,0,67,0,83,0,1868,5
20,Nagaland,8,0,1,0,24,0,154,0
21,Odisha,3758,4,496,0,7548,0,7063,0
22,Punjab,10289,14,8435,22,23389,55,11030,41
23,Rajasthan,13706,17,2023,7,20749,96,13491,10
24,Sikkim,444,0,11,0,243,1,264,0
25,Tamil Nadu,8527,5,2410,0,6039,8,6430,8
26,Tripura,114,0,24,0,349,0,56,0
27,Telangana,13331,7,2173,0,7135,0,8972,0
28,Uttar Pradesh,10557,26,3715,6,29750,29,19821,33
29,Uttrakhand,10622,8,76,1,738,2,2337,0
30,West Bengal*,NR,NR ,5166,0,8264,7,67271,30
31,A& N Island,168,0,98,0,175,0,1014,3
32,Chandigarh,286,0,265,0,1596,3,910,1
33,Delhi,5077,0,1269,0,13089,23,10183,9
34,D&N Haveli,1491,2,248,0,547,0,685,0
35,Daman & Diu,625,2,71,0,279,0,228,0
36,Puduchery,2030,2,633,1,1625,1,1673,3
