ID,REG,DATE,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,CASES
1,jak-pus,01-01-2021,25,30.0,27.0,80.0,13.8,0,4.0,310.0,1.0,C ,0.0
2,jak-pus,01-01-2022,25.0,32.4,28.9,75.0,0.5,4.0,3.0,260.0,1.0,C ,0.0
3,jak-pus,01-01-2023,23.6,29.8,26.3,87.0,14.5,0,4.0,320.0,1.0,C ,3.0
4,jak-pus,01-01-2024,26.4,32.2,29.6,77.0,1.8,5.6,4.0,290.0,1.0,C ,3.0
5,jak-pus,01-02-2021,24.8,30.4,27.1,82.0,0.4,0.2,7.0,340.0,2.0,C ,1.0
6,jak-pus,01-02-2022,26.0,31.2,28.5,81.0,-,5.0,3.0,350.0,1.0,C ,5.0
7,jak-pus,01-02-2023,25.4,30.2,27.0,85.0,0.5,0.0,4.0,320.0,1.0,C ,6.0
8,jak-pus,01-02-2024,25.0,31.6,27.8,83.0,8888,2.2,7.0,340.0,1.0,C ,3.0
9,jak-pus,01-03-2021,26.2,33.4,29.3,72.0,0.2,3.5,8.0,330.0,3.0,C ,2.0
10,jak-pus,01-03-2022,24.6,29.2,26.5,86.0,12.6,1.2,5.0,270.0,1.0,C ,7.0
11,jak-pus,01-03-2023,24.6,29.8,26.7,88.0,12.7,1,8.0,315.0,1.0,C ,4.0
12,jak-pus,01-03-2024,25.2,32.4,29.1,77.0,10,0.0,5.0,330.0,2.0,C ,4.0
13,jak-pus,01-04-2021,25.0,30.4,27.8,76.0,4,7.0,3.0,260.0,1.0,W ,0.0
14,jak-pus,01-04-2022,26.4,31.6,28.5,76.0,0,5.2,3.0,270.0,0.0,C ,10.0
15,jak-pus,01-04-2023,26.2,31.0,28.1,74,0,3.0,4.0,260.0,2.0,W ,6.0
16,jak-pus,01-04-2024,26,33.0,29.2,78.0,18.2,4.0,4.0,340.0,1.0,C ,18.0
17,jak-pus,01-05-2021,26.6,33.4,29.7,76.0,0,1.8,3.0,150.0,1.0,C ,3.0
18,jak-pus,01-05-2022,26.6,32.6,29.0,82.0,-,1.6,3.0,330.0,1.0,C ,8.0
19,jak-pus,01-05-2023,27.2,31.0,28.8,80.0,0,4.8,3.0,310.0,0.0,C ,3.0
20,jak-pus,01-05-2024,28,33,30.4,76.0,-,5.6,4.0,360.0,1.0,C ,22.0
21,jak-pus,01-06-2021,26.8,32.6,28.8,81.0,-,-,5.0,10.0,1.0,C ,3.0
23,jak-pus,01-06-2022,25.2,34.6,29.0,72.0,0,6.5,5.0,290.0,1.0,C ,7.0
24,jak-pus,01-06-2023,26.6,33.4,29.3,74.0,-,5.0,7.0,320.0,1.0,C ,4.0
25,jak-pus,01-06-2024,26.6,33,29.7,76.0,-,2.8,3.0,130.0,1.0,C ,7.0
26,jak-pus,01-07-2021,26,31.0,26.3,86.0,1,2.0,4.0,330.0,1.0,C ,0.0
27,jak-pus,01-07-2022,25.4,33.2,28.7,74.0,0,6.5,4.0,340.0,0.0,C ,7.0
28,jak-pus,01-07-2023,25,32.0,29.2,78.0,0,4.8,2.0,20.0,1.0,C ,1.0
29,jak-pus,01-07-2024,26,32.0,29,77,-,6,4.0,310.0,1.0,C ,6.0
30,jak-pus,01-08-2021,25.6,32.0,28.3,78.0,3.3,3.0,5.0,340.0,2.0,C ,2.0
31,jak-pus,01-08-2022,26.0,33.8,29.0,72,0,7.0,3.0,120.0,0.0,C ,14.0
32,jak-pus,01-08-2023,24,33.2,28.7,68.0,-,6.0,6.0,240.0,2.0,E ,2.0
33,jak-pus,01-08-2024,27.2,33.0,28.7,77.0,0.0,7.0,7.0,360.0,2.0,C,3.0
34,jak-pus,01-09-2021,26.2,34.0,29.4,70.0,-,3,6.0,20.0,1.0,C ,4.0
35,jak-pus,01-09-2022,27.2,32.4,29.1,73.0,0,4.0,5.0,100.0,1.0,C ,7.0
36,jak-pus,01-09-2023,25.4,32.6,28.0,72.0,-,7.0,4.0,300.0,1.0,C ,2.0
37,jak-pus,01-09-2024,26.6,33.4,29.0,71.0,0.0,8.0,4.0,330.0,1.0,C,4.0
38,jak-pus,01-10-2021,26.2,33.6,29.1,75.0,1.5,8.0,5.0,100.0,1.0,C ,0.0
39,jak-pus,01-10-2022,26.0,33.8,29.9,74.0,-,3.0,7.0,320.0,1.0,C ,3.0
40,jak-pus,01-10-2023,26.6,32.8,28.9,72.0,0,8.0,3.0,330.0,1.0,C ,1.0
41,jak-pus,01-10-2024,26.0,34.2,30.2,71.0,0.0,8.0,4.0,310.0,1.0,C,1.0
42,jak-pus,01-11-2021,26.4,31.4,27.7,84.0,8888,4.5,4.0,350.0,1.0,C ,2.0
43,jak-pus,01-11-2022,26.6,32,29.3,72.0,-,6.0,5.0,320.0,2.0,C ,7.0
44,jak-pus,01-11-2023,27,33.2,29.8,72.0,8,4.3,6.0,330.0,1.0,C ,3.0
45,jak-pus,01-11-2024,27.4,35.0,30.3,68.0,0.0,6.3,3.0,330.0,1.0,C,0.0
46,jak-pus,01-12-2021,25,34.6,29.9,63.0,-,0.7,7.0,240.0,2.0,W ,7.0
48,jak-pus,01-12-2022,26.0,32.4,28.4,76.0,0,0.4,9.0,320.0,2.0,C ,6.0
49,jak-pus,01-12-2023,26.4,30.4,26.9,87.0,3,2.3,2.0,300.0,0.0,C ,0.0
50,jak-pus,01-12-2024,27.6,35.4,30.4,68.0,0.6,2.5,6.0,220.0,3.0,SW,2.0
51,jak-pus,02-01-2021,25,31.2,27.6,78.0,8888,2.5,6.0,290.0,2.0,C ,0.0
52,jak-pus,02-01-2022,26.6,32.4,28.2,82.0,0,3.5,6.0,220.0,2.0,W ,3.0
53,jak-pus,02-01-2023,24.2,29.4,27.5,81.0,31.5,0.7,4.0,320.0,2.0,NW,4.0
54,jak-pus,02-01-2024,27.2,31.8,29.7,78.0,0,0.7,5.0,300.0,1.0,C ,4.0
55,jak-pus,02-02-2021,25.4,29.8,27.4,83.0,16.4,4.0,5.0,340.0,2.0,C ,0.0
56,jak-pus,02-02-2022,24.4,31.2,28.0,82.0,4,5.5,7.0,340.0,1.0,C ,1.0
57,jak-pus,02-02-2023,24.6,29.5,27.2,88.0,31.8,0.2,6.0,320.0,2.0,C ,5.0
58,jak-pus,02-02-2024,25.6,34.2,28.2,81.0,20.1,3.1,5.0,340.0,1.0,C ,5.0
59,jak-pus,02-03-2021,24.8,30.8,27.3,82.0,20.4,5.8,3.0,310.0,1.0,C ,0.0
60,jak-pus,02-03-2022,24.6,32.4,27.0,84.0,5.2,0.0,4.0,270.0,2.0,W ,3.0
61,jak-pus,02-03-2023,23.4,27.0,25.1,92.0,79.5,0.5,4.0,210.0,0.0,C ,9.0
62,jak-pus,02-03-2024,26.4,30.4,27.7,86.0,-,5.2,4.0,310.0,1.0,NW,10.0
63,jak-pus,02-04-2021,25.8,32.2,29.0,73.0,-,0.2,7.0,320.0,2.0,C ,2.0
64,jak-pus,02-04-2022,26.2,32.8,27.4,82.0,3.8,0.7,6.0,330.0,1.0,C ,8.0
65,jak-pus,02-04-2023,26.0,33.0,28.8,76,1.2,0.3,7.0,320.0,1.0,C ,9.0
66,jak-pus,02-04-2024,27.2,31.8,29.5,77.0,1.2,5.4,4.0,320.0,1.0,C ,21.0
67,jak-pus,02-05-2021,27.2,33.6,29.8,76.0,0,6,5.0,330.0,1.0,C ,1.0
68,jak-pus,02-05-2022,26.0,31.6,27.5,85.0,8888,2.0,8.0,320.0,2.0,C ,12.0
69,jak-pus,02-05-2023,27.4,34.4,29.0,84.0,0,1.4,3.0,320.0,1.0,C ,4.0
70,jak-pus,02-05-2024,28,-,31.3,72.0,-,0.6,6.0,70.0,1.0,C ,37.0
71,jak-pus,02-06-2021,26.8,33.0,29.0,80.0,0.2,5.5,5.0,350.0,1.0,C ,3.0
72,jak-pus,02-06-2022,26.4,34.0,28.4,79.0,-,3.4,5.0,340.0,1.0,C ,7.0
73,jak-pus,02-06-2023,26,34.4,29.9,73.0,-,6.5,3.0,100.0,1.0,C ,4.0
74,jak-pus,02-06-2024,-,33.6,29.7,78.0,-,1.0,3.0,350.0,0.0,C ,7.0
75,jak-pus,02-07-2021,24,32.4,28.3,75.0,12,1.0,4.0,130.0,1.0,C ,0.0
76,jak-pus,02-07-2022,25.6,32.4,29.1,76.0,0,6.5,3.0,290.0,1.0,C ,6.0
77,jak-pus,02-07-2023,27.6,32.4,29.3,75.0,0,2.7,5.0,330.0,1.0,C ,2.0
78,jak-pus,02-07-2024,25.6,30.8,28.5,81,0.6,2.5,4.0,310.0,0.0,C ,5.0
79,jak-pus,02-08-2021,25.8,32.0,28.6,76.0,0,5.8,8.0,340.0,2.0,C ,1.0
80,jak-pus,02-08-2022,25.0,33.0,29.3,73,-,6.0,6.0,320.0,1.0,C ,7.0
81,jak-pus,02-08-2023,26,32.4,29.4,72.0,0,7.0,4.0,320.0,2.0,S ,0.0
82,jak-pus,02-08-2024,25.0,32.6,28.8,75.0,8888.0,0.6,5.0,320.0,1.0,C,2.0
83,jak-pus,02-09-2021,26.8,32.2,28.9,71.0,0,7,4.0,320.0,1.0,C ,0.0
84,jak-pus,02-09-2022,26.6,33.6,29.3,76.0,0.5,3.5,5.0,320.0,1.0,C ,2.0
85,jak-pus,02-09-2023,25,31.6,28.5,71.0,-,7.4,5.0,310.0,1.0,C ,1.0
86,jak-pus,02-09-2024,27.0,33.6,30.0,74.0,0.0,7.0,3.0,300.0,0.0,C,2.0
87,jak-pus,02-10-2021,26,31.4,28.9,75.0,-,3.2,3.0,20.0,1.0,C ,0.0
88,jak-pus,02-10-2022,26.8,30.4,28.2,78.0,0,7.8,4.0,310.0,1.0,C ,3.0
89,jak-pus,02-10-2023,26.8,33.0,29.2,70.0,0,4.3,7.0,320.0,1.0,C ,0.0
90,jak-pus,02-10-2024,27.8,34.0,30.5,70.0,0.0,8.0,5.0,320.0,1.0,C,1.0
91,jak-pus,02-11-2021,25.8,32.6,28.6,76.0,2,1.6,5.0,260.0,1.0,C ,1.0
92,jak-pus,02-11-2022,25.4,32.4,29.2,76.0,-,4.0,7.0,316.0,1.0,C ,4.0
93,jak-pus,02-11-2023,27.6,33.4,30.3,71.0,0,3.5,4.0,320.0,1.0,C ,0.0
94,jak-pus,02-11-2024,26.0,34.6,28.9,79.0,0.0,2.6,10.0,320.0,2.0,C,1.0
95,jak-pus,02-12-2021,27.2,35.2,30.7,66.0,0,2.4,4.0,280.0,3.0,W ,3.0
96,jak-pus,02-12-2022,26.4,31.4,28.1,78.0,8888,6.5,5.0,320.0,1.0,C ,6.0
97,jak-pus,02-12-2023,25.8,33.6,29.4,74.0,1.1,0,6.0,320.0,1.0,C ,2.0
98,jak-pus,02-12-2024,26.4,35.2,29.3,72.0,5.0,6.8,8.0,100.0,3.0,W,2.0
99,jak-pus,03-01-2021,25,32.4,27.9,77.0,-,3.5,8.0,320.0,2.0,C ,2.0
100,jak-pus,03-01-2022,25.8,32.8,29.2,72.0,0,2.9,5.0,320.0,2.0,C ,5.0
101,jak-pus,03-01-2023,25,29.6,26.6,82.0,0.5,0,6.0,316.0,1.0,C ,1.0
102,jak-pus,03-01-2024,26.6,30.2,28.0,84.0,2.5,0.0,3.0,260.0,1.0,C ,0.0
103,jak-pus,03-02-2021,24.2,29.4,26.5,89.0,76.2,6.5,7.0,290.0,1.0,C ,0.0
104,jak-pus,03-02-2022,26.2,32.0,28.7,78.0,0,3.8,4.0,120.0,2.0,C ,4.0
105,jak-pus,03-02-2023,23.2,31.2,26.7,80.0,25.2,0.2,3.0,320.0,1.0,C ,5.0
106,jak-pus,03-02-2024,25.0,31.6,28.1,79.0,20.3,3.2,4.0,270.0,2.0,W ,1.0
107,jak-pus,03-03-2021,24.6,31.4,27.7,82.0,35.2,4.5,7.0,260.0,1.0,C ,0.0
108,jak-pus,03-03-2022,25.2,32.4,28.3,78.0,6.6,2.4,8.0,340.0,2.0,C ,6.0
109,jak-pus,03-03-2023,23.8,31.8,27.0,84.0,3.8,0,9.0,315.0,1.0,C ,7.0
110,jak-pus,03-03-2024,25.8,31,27.7,86.0,17.7,0.0,6.0,310.0,2.0,C ,7.0
111,jak-pus,03-04-2021,25.0,29.8,26.9,88.0,73.4,8.0,2.0,130.0,1.0,C ,3.0
112,jak-pus,03-04-2022,26.4,33.0,26.7,83.0,18,4.0,8.0,330.0,2.0,C ,12.0
113,jak-pus,03-04-2023,24.6,32.6,28.1,74,-,6.9,8.0,315.0,1.0,C ,7.0
114,jak-pus,03-04-2024,27.4,32.6,28.3,83.0,0,2.0,8.0,340.0,2.0,C ,23.0
115,jak-pus,03-05-2021,26,33.0,29.7,76.0,-,5.8,4.0,140.0,2.0,E ,2.0
116,jak-pus,03-05-2022,25.0,32.6,28.2,83.0,18.6,2.4,3.0,80.0,1.0,C ,8.0
117,jak-pus,03-05-2023,27.4,33.4,29.8,79.0,0.5,3.0,3.0,310.0,1.0,C ,5.0
118,jak-pus,03-05-2024,27,33.8,30.7,73.0,-,2.8,7.0,360.0,2.0,C ,27.0
119,jak-pus,03-06-2021,27,32.8,28.9,83.0,0,6.7,5.0,290.0,1.0,C ,4.0
120,jak-pus,03-06-2022,24.6,33.6,28.2,79.0,32.6,5.5,8.0,320.0,1.0,C ,10.0
121,jak-pus,03-06-2023,27,33.8,30.2,72.0,0,5.7,3.0,170.0,1.0,C ,6.0
122,jak-pus,03-06-2024,-,33.8,28.8,82.0,1.5,1.5,2.0,320.0,0.0,C ,4.0
123,jak-pus,03-07-2021,26,33.8,29.0,73.0,0,6.8,3.0,120.0,1.0,C ,2.0
124,jak-pus,03-07-2022,27.2,32.2,29.1,82.0,3,4.5,4.0,310.0,1.0,C ,9.0
125,jak-pus,03-07-2023,26.8,32.2,29.1,74.0,0,-,7.0,320.0,1.0,C ,0.0
126,jak-pus,03-07-2024,26.6,32.4,28.1,79,0,1.3,6.0,360.0,1.0,C ,5.0
127,jak-pus,03-08-2021,-,32.4,28.7,75.0,-,4.9,4.0,340.0,2.0,C ,1.0
128,jak-pus,03-08-2022,27.4,33.4,29.7,72,0,5.4,4.0,350.0,1.0,C ,10.0
129,jak-pus,03-08-2023,26.8,33.6,29.4,75.0,0,0.7,5.0,320.0,1.0,C ,1.0
130,jak-pus,03-08-2024,25.4,33.6,28.6,78.0,2.6,5.4,3.0,40.0,1.0,C,2.0
131,jak-pus,03-09-2021,26.8,32.4,29.0,70.0,0,6,4.0,330.0,1.0,C ,2.0
132,jak-pus,03-09-2022,25,33.0,28.3,76.0,-,4.0,9.0,270.0,4.0,W ,4.0
133,jak-pus,03-09-2023,26.6,32.6,28.9,68.0,8888,4.7,4.0,190.0,1.0,C ,2.0
134,jak-pus,03-09-2024,26.0,33.0,29.3,72.0,0.0,6.9,5.0,330.0,2.0,C,2.0
135,jak-pus,03-10-2021,25.6,33.2,29.1,69.0,-,3.0,7.0,290.0,2.0,C ,3.0
136,jak-pus,03-10-2022,24.8,32.4,28.7,77.0,15.8,3.0,5.0,330.0,1.0,C ,4.0
137,jak-pus,03-10-2023,26.6,34.2,29.2,67.0,0,4.8,6.0,340.0,2.0,C ,1.0
138,jak-pus,03-10-2024,28.2,33.8,30.3,69.0,8888.0,6.8,4.0,110.0,1.0,C,4.0
139,jak-pus,03-11-2021,25.0,32.6,28.5,78.0,-,6.0,4.0,320.0,1.0,C ,1.0
140,jak-pus,03-11-2022,26.8,32.2,29.1,75.0,0,5.6,5.0,320.0,1.0,C ,3.0
141,jak-pus,03-11-2023,27.8,33.4,30.2,70.0,0,4,5.0,330.0,1.0,C ,2.0
142,jak-pus,03-11-2024,25.6,32.8,27.7,79.0,24.5,6.2,5.0,320.0,1.0,C,0.0
143,jak-pus,03-12-2021,27,32.4,29.6,71.0,-,6.5,5.0,320.0,2.0,W ,3.0
144,jak-pus,03-12-2022,25.0,32.0,28.3,76.0,4,1.0,7.0,310.0,1.0,C ,4.0
145,jak-pus,03-12-2023,26.0,32.2,28.6,78.0,-,6.1,4.0,260.0,1.0,C ,0.0
146,jak-pus,03-12-2024,26.0,31.4,27.3,79.0,26.0,1.4,6.0,270.0,2.0,C,1.0
147,jak-pus,04-01-2021,25.6,32.6,28.8,75.0,9.4,2.7,7.0,260.0,2.0,C ,0.0
148,jak-pus,04-01-2022,25.8,32.4,28.9,71.0,-,6.2,5.0,320.0,1.0,C ,5.0
149,jak-pus,04-01-2023,24.4,30.0,26.4,86.0,2.4,-,5.0,316.0,1.0,C ,7.0
150,jak-pus,04-01-2024,26.4,31.4,27.1,87.0,8.5,0.0,3.0,330.0,0.0,C ,0.0
151,jak-pus,04-02-2021,24.2,29.8,26.5,87.0,18,0.3,10.0,320.0,3.0,C ,0.0
152,jak-pus,04-02-2022,23.6,31.0,26.9,86.0,88.3,5.8,7.0,320.0,2.0,C ,3.0
153,jak-pus,04-02-2023,24,30.2,27.7,83.0,8888,0.1,5.0,320.0,2.0,W ,1.0
154,jak-pus,04-02-2024,26.2,31.0,28.0,81.0,-,0.8,4.0,340.0,1.0,C ,2.0
155,jak-pus,04-03-2021,25,31.6,28.3,78.0,1.3,5.9,4.0,310.0,1.0,C ,1.0
156,jak-pus,04-03-2022,25,31.6,28.1,78.0,3.7,7.0,6.0,320.0,1.0,C ,3.0
157,jak-pus,04-03-2023,24.2,29.6,26.8,81.0,42.5,2.2,4.0,300.0,1.0,C ,6.0
158,jak-pus,04-03-2024,25,34,29.2,74.0,6.8,0.2,4.0,270.0,2.0,C ,12.0
