"","province","district","jan","feb","mar","apr","may","june","july","aug","sept","oct","nov","dec"
"1","Western","Colombo",208,388,677,773,588,1235,1286,455,572,1132,1466,2621
"2","Western","Gampaha",123,199,285,268,211,491,642,181,256,685,1172,1907
"3","Western","Kalutara",77,76,132,162,99,192,304,131,112,291,454,806
"4","Central","Kandy",74,54,82,97,53,110,159,86,93,148,219,319
"5","Central","Matale",9,9,13,15,8,22,51,37,15,28,39,44
"6","Central","Nuwara",7,3,10,8,4,6,5,8,9,10,14,29
"7","Southern","Galle",23,20,33,53,7,100,56,31,41,69,106,173
"8","Southern","Hambantota",22,24,34,42,25,68,51,24,23,40,43,71
"9","Southern","Matara",23,37,36,39,25,158,103,55,35,60,82,100
"10","Northern","Jaffna",14,4,6,5,2,3,3,1,0,1,20,114
"11","Northern","Kilinochchi",4,4,2,1,1,0,1,1,0,0,2,10
"12","Northern","Mannar",5,4,5,6,1,1,1,1,0,3,27,284
"13","Northern","Vavuniya",3,11,9,2,2,1,4,2,0,3,7,10
"14","Northern","Mulativu",0,0,0,0,0,0,0,0,0,1,0,1
"15","Eastern","Batticaloa",1276,1214,450,249,115,48,21,7,7,21,31,76
"16","Eastern","Ampara",4,6,6,10,6,19,11,0,5,7,9,35
"17","Eastern","Trincomalee",11,39,35,20,10,12,2,4,10,10,51,97
"18","Eastern","Kalmunai",27,29,62,62,37,14,1,2,4,6,14,46
"19","North","Western",53,65,153,124,74,179,222,93,52,139,262,412
"20","North","Western",49,37,58,54,28,34,41,25,17,35,95,280
"21","North","central",14,18,27,42,17,78,46,24,13,19,33,41
"22","North","central",4,6,0,3,4,12,21,9,7,13,18,27
"23","Uva","Badulla",23,2,16,24,22,67,52,20,25,105,202,205
"24","Uva","Moneragala",9,4,16,12,7,24,43,8,11,12,17,37
"25","Sabaragamuwa","Ratnapura",36,64,100,77,40,65,93,57,44,91,87,176
"26","Sabaragamuwa","Kegalle",24,38,65,93,55,58,73,26,19,50,91,175
